Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,26710,26710,26710,26939.2,26710
2,27010,26958.3,26958.3,27171.5,26930.4
3,27250,27206.5,27206.5,27403.8,27150.8
4,27520,27454.8,27454.8,27636.1,27371.2
5,27760,27703,27703,27868.4,27591.7
6,28010,27951.3,27951.3,28100.8,27812.1
7,28290,28199.6,28199.6,28333.1,28032.5
8,28520,28447.8,28447.8,28565.4,28252.9
9,28800,28696.1,28696.1,28797.7,28473.3
10,29030,28944.3,28944.3,29030,28693.7
11,29320,29192.6,29192.6,29262.4,28914.1
12,29570,29440.9,29440.9,29494.7,29134.5
1,29780,29689.1,29689.1,29727,29355
2,30040,29937.4,29937.4,29959.3,29575.4
3,30310,30185.7,30185.7,30191.6,29795.8
4,30440,30433.9,30433.9,30424,30016.2
5,30760,30682.2,30682.2,30656.3,30236.6
6,30910,30930.4,30930.4,30888.6,30457
7,31180,31178.7,31178.7,31120.9,30677.4
8,31390,31427,31427,31353.2,30897.8
9,31640,31675.2,31675.2,31585.5,31118.3
10,31870,31923.5,31923.5,31817.9,31338.7
11,32130,32171.7,32171.7,32050.2,31559.1
12,32420,32420,32420,32282.5,31779.5
1,32890,32875.3,32889,32809.6,32220.3
2,33110,33102.2,33115,33041.9,32440.7
3,33340,33329,33341,33274.2,32661.1
4,33530,33555.9,33566.9,33506.5,32881.6
5,33770,33782.7,33792.9,33738.9,33102
6,34010,34009.6,34018.9,33971.2,33322.4
7,34220,34236.4,34244.9,34203.5,33542.8
8,34440,34463.3,34470.8,34435.8,33763.2
9,34660,34690.1,34696.8,34668.1,33983.6
10,34870,34917,34922.8,34900.5,34204
11,35080,35143.8,35148.8,35132.8,34424.4
12,35440,35370.7,35374.7,35365.1,34644.9
1,35650,35597.5,35600.7,35597.4,34865.3
2,35820,35824.4,35826.7,35829.7,35085.7
3,36070,36051.2,36052.7,36062,35306.1
4,36260,36278.1,36278.6,36294.4,35526.5
5,36520,36504.9,36504.6,36526.7,35746.9
6,36710,36731.8,36730.6,36759,35967.3
7,36940,36958.6,36956.6,36991.3,36187.7
8,37150,37185.5,37182.5,37223.6,36408.2
9,37410,37412.3,37408.5,37456,36628.6
10,37630,37639.2,37634.5,37688.3,36849
11,37860,37866,37860.5,37920.6,37069.4
12,38170,38092.9,38086.4,38152.9,37289.8
1,38620,38575.3,38560.5,38542.7,37730.6
2,38810,38800.1,38786.2,38770.4,37951
3,39070,39024.8,39011.8,38998.1,38171.5
4,39240,39249.6,39237.5,39225.8,38391.9
5,39470,39474.3,39463.2,39453.5,38612.3
6,39710,39699,39688.9,39681.2,38832.7
7,39910,39923.8,39914.6,39908.9,39053.1
8,40120,40148.5,40140.3,40136.6,39273.5
9,40340,40373.3,40366,40364.3,39493.9
10,40520,40598,40591.7,40592,39714.3
11,40810,40822.8,40817.4,40819.7,39934.8
12,41110,41047.5,41043.1,41047.4,40155.2
1,41310,41272.3,41268.8,41275.1,40375.6
2,41510,41497,41494.5,41502.8,40596
3,41720,41721.8,41720.2,41730.5,40816.4
4,41930,41946.5,41945.9,41958.2,41036.8
5,42160,42171.2,42171.6,42185.9,41257.2
6,42430,42396,42397.2,42413.6,41477.7
7,42640,42620.7,42622.9,42641.3,41698.1
8,42820,42845.5,42848.6,42869,41918.5
9,43010,43070.2,43074.3,43096.7,42138.9
10,43280,43295,43300,43324.4,42359.3
11,43550,43519.7,43525.7,43552.1,42579.7
12,43780,43744.5,43751.4,43779.8,42800.1
1,44250,44236.8,44222.4,44205.9,43241
2,44480,44459.8,44446.3,44431.6,43461.4
3,44710,44682.8,44670.2,44657.4,43681.8
4,44890,44905.8,44894.1,44883.1,43902.2
5,45100,45128.7,45118,45108.9,44122.6
6,45380,45351.7,45341.9,45334.7,44343
7,45560,45574.7,45565.8,45560.4,44563.4
8,45800,45797.7,45789.8,45786.2,44783.8
9,46020,46020.7,46013.7,46011.9,45004.3
10,46240,46243.7,46237.6,46237.7,45224.7
11,46510,46466.7,46461.5,46463.4,45445.1
12,46660,46689.7,46685.4,46689.2,45665.5
1,46910,46912.7,46909.3,46915,45885.9
2,47140,47135.7,47133.2,47140.7,46106.3
3,47340,47358.7,47357.1,47366.5,46326.7
4,47570,47581.6,47581,47592.2,46547.1
5,47800,47804.6,47805,47818,46767.6
6,48010,48027.6,48028.9,48043.7,46988
7,48240,48250.6,48252.8,48269.5,47208.4
8,48470,48473.6,48476.7,48495.3,47428.8
9,48710,48696.6,48700.6,48721,47649.2
10,48910,48919.6,48924.5,48946.8,47869.6
11,49180,49142.6,49148.4,49172.5,48090
12,49370,49365.6,49372.3,49398.3,48310.4
1,49850,49838.3,49815.2,49800.8,48751.3
2,50090,50060.2,50038.9,50025.5,48971.7
3,50220,50282.1,50262.7,50250.3,49192.1
4,50470,50504,50486.4,50475,49412.5
5,50670,50725.9,50710.2,50699.8,49632.9
6,50940,50947.9,50933.9,50924.5,49853.3
7,51180,51169.8,51157.6,51149.3,50073.7
8,51370,51391.7,51381.4,51374,50294.2
9,51600,51613.6,51605.1,51598.8,50514.6
10,51810,51835.5,51828.9,51823.5,50735
11,52020,52057.4,52052.6,52048.3,50955.4
12,52240,52279.3,52276.4,52273,51175.8
1,52560,52501.2,52500.1,52497.8,51396.2
2,52750,52723.1,52723.9,52722.5,51616.6
3,52950,52945,52947.6,52947.3,51837
4,53180,53167,53171.3,53172,52057.5
5,53430,53388.9,53395.1,53396.8,52277.9
6,53640,53610.8,53618.8,53621.6,52498.3
7,53830,53832.7,53842.6,53846.3,52718.7
8,54060,54054.6,54066.3,54071.1,52939.1
9,54250,54276.5,54290.1,54295.8,53159.5
10,54470,54498.4,54513.8,54520.6,53379.9
11,54730,54720.3,54737.5,54745.3,53600.4
