Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,101310,101310,101310,101603,101310
2,101630,101557,101557,101831,101531
3,101890,101803,101803,102060,101752
4,102160,102050,102050,102289,101972
5,102420,102296,102296,102518,102193
6,102650,102543,102543,102747,102414
7,102920,102789,102789,102976,102635
8,103180,103036,103036,103205,102856
9,103410,103282,103282,103434,103076
10,103690,103529,103529,103663,103297
11,104020,103775,103775,103892,103518
12,104130,104022,104022,104121,103739
1,104380,104268,104268,104349,103959
2,104620,104515,104515,104578,104180
3,104940,104761,104761,104807,104401
4,105120,105008,105008,105036,104622
5,105390,105254,105254,105265,104843
6,105610,105501,105501,105494,105063
7,105880,105747,105747,105723,105284
8,106070,105994,105994,105952,105505
9,106190,106240,106240,106181,105726
10,106450,106487,106487,106410,105947
11,106600,106733,106733,106639,106167
12,106980,106980,106980,106867,106388
1,107450,107462,107466,107392,106830
2,107690,107685,107688,107621,107051
3,107950,107908,107911,107850,107271
4,108110,108131,108134,108078,107492
5,108370,108354,108356,108307,107713
6,108590,108577,108579,108536,107934
7,108820,108799,108801,108765,108155
8,109040,109022,109024,108994,108375
9,109220,109245,109247,109223,108596
10,109400,109468,109469,109452,108817
11,109550,109691,109692,109681,109038
12,109910,109913,109914,109910,109258
1,110140,110136,110137,110139,109479
2,110350,110359,110360,110368,109700
3,110630,110582,110582,110596,109921
4,110830,110805,110805,110825,110142
5,111110,111028,111028,111054,110362
6,111310,111250,111250,111283,110583
7,111550,111473,111473,111512,110804
8,111670,111696,111695,111741,111025
9,111860,111919,111918,111970,111246
10,112050,112142,112141,112199,111466
11,112330,112364,112363,112428,111687
12,112650,112587,112586,112657,111908
1,113070,113056,113042,113028,112350
2,113320,113278,113265,113252,112570
3,113500,113500,113487,113477,112791
4,113690,113722,113710,113701,113012
5,113920,113944,113933,113925,113233
6,114160,114166,114156,114150,113453
7,114370,114388,114379,114374,113674
8,114600,114610,114602,114598,113895
9,114790,114832,114825,114822,114116
10,115020,115054,115048,115047,114337
11,115240,115276,115271,115271,114557
12,115520,115498,115493,115495,114778
1,115770,115720,115716,115720,114999
2,115960,115942,115939,115944,115220
3,116200,116164,116162,116168,115441
4,116420,116386,116385,116393,115661
5,116560,116608,116608,116617,115882
6,116870,116830,116831,116841,116103
7,117050,117052,117054,117065,116324
8,117260,117274,117277,117290,116545
9,117440,117496,117500,117514,116765
10,117710,117718,117722,117738,116986
11,117960,117940,117945,117963,117207
12,118180,118162,118168,118187,117428
1,118660,118616,118613,118594,117869
2,118860,118838,118835,118817,118090
3,119050,119060,119057,119041,118311
4,119270,119282,119279,119265,118532
5,119480,119504,119502,119489,118752
6,119720,119726,119724,119713,118973
7,119930,119948,119946,119937,119194
8,120130,120170,120168,120160,119415
9,120370,120392,120390,120384,119636
10,120580,120614,120612,120608,119856
11,120830,120836,120835,120832,120077
12,121060,121058,121057,121056,120298
