Bell No,Actual Time,Contest Model,HawkEar Model,RWP Model,Metronomic Model
1,55150,55150,55150,55438.9,55150
2,55470,55393.5,55393.5,55665.7,55370.6
3,55710,55637,55637,55892.5,55591.2
4,55970,55880.4,55880.4,56119.4,55811.8
5,56280,56123.9,56123.9,56346.2,56032.4
6,56480,56367.4,56367.4,56573.1,56253
7,56760,56610.9,56610.9,56799.9,56473.5
8,56970,56854.3,56854.3,57026.7,56694.1
9,57310,57097.8,57097.8,57253.6,56914.7
10,57530,57341.3,57341.3,57480.4,57135.3
11,57790,57584.8,57584.8,57707.2,57355.9
12,57940,57828.3,57828.3,57934.1,57576.5
1,58160,58071.7,58071.7,58160.9,57797.1
2,58420,58315.2,58315.2,58387.8,58017.7
3,58730,58558.7,58558.7,58614.6,58238.3
4,58900,58802.2,58802.2,58841.4,58458.9
5,59180,59045.7,59045.7,59068.3,58679.5
6,59390,59289.1,59289.1,59295.1,58900.1
7,59600,59532.6,59532.6,59521.9,59120.6
8,59840,59776.1,59776.1,59748.8,59341.2
9,60050,60019.6,60019.6,59975.6,59561.8
10,60280,60263,60263,60202.5,59782.4
11,60480,60506.5,60506.5,60429.3,60003
12,60750,60750,60750,60656.1,60223.6
1,61190,61176.2,61196.6,61132.6,60664.8
2,61380,61399.6,61418.7,61359.5,60885.4
3,61580,61623,61640.8,61586.3,61106
4,61780,61846.4,61862.9,61813.1,61326.6
5,62030,62069.9,62085,62040,61547.2
6,62290,62293.3,62307.1,62266.8,61767.7
7,62490,62516.7,62529.2,62493.6,61988.3
8,62750,62740.1,62751.3,62720.5,62208.9
9,63010,62963.5,62973.4,62947.3,62429.5
10,63190,63186.9,63195.6,63174.2,62650.1
11,63370,63410.3,63417.7,63401,62870.7
12,63710,63633.7,63639.8,63627.8,63091.3
1,63870,63857.1,63861.9,63854.7,63311.9
2,64070,64080.5,64084,64081.5,63532.5
3,64370,64304,64306.1,64308.3,63753.1
4,64560,64527.4,64528.2,64535.2,63973.7
5,64730,64750.8,64750.3,64762,64194.2
6,64950,64974.2,64972.4,64988.9,64414.8
7,65160,65197.6,65194.6,65215.7,64635.4
8,65370,65421,65416.7,65442.5,64856
9,65620,65644.4,65638.8,65669.4,65076.6
10,65860,65867.8,65860.9,65896.2,65297.2
11,66050,66091.2,66083,66123,65517.8
12,66410,66314.6,66305.1,66349.9,65738.4
1,66770,66779.4,66768.9,66762.5,66179.6
2,67050,67001.2,66991.4,66985.9,66400.2
3,67250,67223,67213.9,67209.4,66620.8
4,67460,67444.8,67436.3,67432.8,66841.3
5,67670,67666.6,67658.8,67656.2,67061.9
6,67910,67888.4,67881.3,67879.7,67282.5
7,68070,68110.2,68103.8,68103.1,67503.1
8,68310,68332,68326.2,68326.6,67723.7
9,68560,68553.8,68548.7,68550,67944.3
10,68750,68775.6,68771.2,68773.5,68164.9
11,68980,68997.4,68993.7,68996.9,68385.5
12,69250,69219.3,69216.1,69220.4,68606.1
1,69470,69441.1,69438.6,69443.8,68826.7
2,69680,69662.9,69661.1,69667.3,69047.3
3,69900,69884.7,69883.6,69890.7,69267.8
4,70120,70106.5,70106,70114.1,69488.4
5,70260,70328.3,70328.5,70337.6,69709
6,70540,70550.1,70551,70561,69929.6
7,70780,70771.9,70773.5,70784.5,70150.2
8,70960,70993.7,70995.9,71007.9,70370.8
9,71190,71215.5,71218.4,71231.4,70591.4
10,71430,71437.3,71440.9,71454.8,70812
11,71690,71659.2,71663.4,71678.3,71032.6
12,71920,71881,71885.8,71901.7,71253.2
1,72340,72326.4,72326.4,72303.3,71694.4
2,72560,72546.5,72546.6,72525.3,71914.9
3,72750,72766.7,72766.7,72747.4,72135.5
4,72990,72986.8,72986.9,72969.5,72356.1
5,73210,73207,73207,73191.5,72576.7
6,73410,73427.1,73427.2,73413.6,72797.3
7,73640,73647.3,73647.3,73635.7,73017.9
8,73850,73867.4,73867.5,73857.8,73238.5
9,74090,74087.6,74087.6,74079.8,73459.1
10,74320,74307.7,74307.8,74301.9,73679.7
11,74510,74527.9,74527.9,74524,73900.3
12,74750,74748,74748,74746,74120.9
1,75000,74968.2,74968.2,74968.1,74341.5
2,75190,75188.3,75188.3,75190.2,74562
3,75430,75408.5,75408.5,75412.3,74782.6
4,75600,75628.6,75628.6,75634.3,75003.2
5,75810,75848.8,75848.8,75856.4,75223.8
6,76020,76068.9,76068.9,76078.5,75444.4
7,76280,76289.1,76289.1,76300.5,75665
8,76480,76509.2,76509.2,76522.6,75885.6
9,76770,76729.4,76729.3,76744.7,76106.2
10,76980,76949.5,76949.5,76966.8,76326.8
11,77160,77169.7,77169.6,77188.8,76547.4
12,77430,77389.8,77389.8,77410.9,76768
1,77850,77838.4,77839.1,77828.8,77209.1
2,78070,78059.4,78059.5,78050.6,77429.7
3,78290,78280.4,78279.9,78272.5,77650.3
4,78490,78501.4,78500.3,78494.3,77870.9
5,78710,78722.4,78720.8,78716.1,78091.5
6,78970,78943.3,78941.2,78937.9,78312.1
7,79160,79164.3,79161.6,79159.7,78532.7
8,79370,79385.3,79382,79381.5,78753.3
9,79580,79606.3,79602.5,79603.3,78973.9
10,79830,79827.3,79822.9,79825.1,79194.5
11,80000,80048.2,80043.3,80046.9,79415.1
12,80270,80269.2,80263.7,80268.7,79635.6
1,80500,80490.2,80484.2,80490.5,79856.2
2,80710,80711.2,80704.6,80712.3,80076.8
3,80930,80932.2,80925,80934.1,80297.4
4,81150,81153.1,81145.5,81155.9,80518
5,81400,81374.1,81365.9,81377.7,80738.6
6,81610,81595.1,81586.3,81599.5,80959.2
7,81820,81816.1,81806.7,81821.3,81179.8
8,82030,82037.1,82027.2,82043.1,81400.4
9,82250,82258,82247.6,82264.9,81621
10,82480,82479,82468,82486.7,81841.6
11,82690,82700,82688.4,82708.5,82062.1
12,82950,82921,82908.9,82930.3,82282.7
1,83350,83360.2,83353,83343.9,82723.9
2,83580,83580.5,83573.6,83565.4,82944.5
3,83790,83800.8,83794.1,83786.9,83165.1
4,83990,84021.1,84014.6,84008.4,83385.7
5,84210,84241.4,84235.1,84229.9,83606.3
6,84510,84461.6,84455.7,84451.4,83826.9
7,84680,84681.9,84676.2,84672.9,84047.5
8,84910,84902.2,84896.7,84894.5,84268.1
9,85130,85122.5,85117.3,85116,84488.7
10,85340,85342.8,85337.8,85337.5,84709.2
11,85540,85563.1,85558.3,85559,84929.8
12,85760,85783.3,85778.8,85780.5,85150.4
1,85990,86003.6,85999.4,86002,85371
2,86230,86223.9,86219.9,86223.5,85591.6
3,86450,86444.2,86440.4,86445,85812.2
4,86640,86664.5,86660.9,86666.5,86032.8
5,86880,86884.8,86881.5,86888,86253.4
6,87140,87105.1,87102,87109.6,86474
7,87360,87325.3,87322.5,87331.1,86694.6
8,87560,87545.6,87543,87552.6,86915.2
9,87760,87765.9,87763.6,87774.1,87135.8
10,87990,87986.2,87984.1,87995.6,87356.3
11,88150,88206.5,88204.6,88217.1,87576.9
12,88450,88426.8,88425.2,88438.6,87797.5
1,88850,88867.5,88864.7,88852.5,88238.7
2,89080,89087.8,89085.2,89073.9,88459.3
3,89320,89308.1,89305.7,89295.4,88679.9
4,89500,89528.4,89526.2,89516.8,88900.5
5,89730,89748.7,89746.7,89738.3,89121.1
6,90000,89968.9,89967.2,89959.7,89341.7
7,90210,90189.2,90187.7,90181.2,89562.3
8,90440,90409.5,90408.2,90402.6,89782.8
9,90650,90629.8,90628.7,90624.1,90003.4
10,90810,90850.1,90849.1,90845.5,90224
11,91060,91070.3,91069.6,91067,90444.6
12,91300,91290.6,91290.1,91288.4,90665.2
1,91490,91510.9,91510.6,91509.9,90885.8
2,91720,91731.2,91731.1,91731.3,91106.4
3,91930,91951.5,91951.6,91952.8,91327
4,92150,92171.7,92172.1,92174.2,91547.6
5,92390,92392,92392.6,92395.7,91768.2
6,92630,92612.3,92613.1,92617.1,91988.8
7,92810,92832.6,92833.6,92838.6,92209.4
8,93020,93052.9,93054.1,93060.1,92429.9
9,93270,93273.1,93274.6,93281.5,92650.5
10,93530,93493.4,93495.1,93503,92871.1
11,93710,93713.7,93715.5,93724.4,93091.7
12,93980,93934,93936,93945.9,93312.3
1,94390,94376.7,94374.6,94363.2,93753.5
2,94610,94596.8,94595.1,94584.4,93974.1
3,94800,94817,94815.5,94805.7,94194.7
4,95040,95037.2,95035.9,95027,94415.3
5,95220,95257.3,95256.3,95248.3,94635.9
6,95490,95477.5,95476.7,95469.6,94856.4
7,95710,95697.6,95697.2,95690.9,95077
8,95890,95917.8,95917.6,95912.1,95297.6
9,96130,96137.9,96138,96133.4,95518.2
10,96340,96358.1,96358.4,96354.7,95738.8
11,96580,96578.3,96578.8,96576,95959.4
12,96810,96798.4,96799.3,96797.3,96180
1,97040,97018.6,97019.7,97018.6,96400.6
2,97250,97238.7,97240.1,97239.8,96621.2
3,97470,97458.9,97460.5,97461.1,96841.8
4,97710,97679,97680.9,97682.4,97062.4
5,97880,97899.2,97901.4,97903.7,97283
6,98120,98119.4,98121.8,98125,97503.5
7,98330,98339.5,98342.2,98346.3,97724.1
8,98520,98559.7,98562.6,98567.5,97944.7
9,98770,98779.8,98783,98788.8,98165.3
10,99010,99000,99003.5,99010.1,98385.9
11,99200,99220.1,99223.9,99231.4,98606.5
12,99480,99440.3,99444.3,99452.7,98827.1
1,99870,99883.1,99878.8,99868.6,99268.3
2,100090,100103,100099,100089,99488.9
3,100350,100322,100319,100310,99709.5
4,100530,100542,100539,100531,99930.1
5,100770,100761,100760,100752,100151
6,101000,100981,100980,100972,100371
7,101220,101200,101200,101193,100592
8,101440,101420,101420,101414,100812
9,101660,101639,101641,101635,101033
10,101840,101859,101861,101856,101254
11,102040,102078,102081,102076,101474
12,102320,102298,102301,102297,101695
1,102520,102517,102521,102518,101915
2,102720,102737,102742,102739,102136
3,102940,102957,102962,102959,102357
4,103160,103176,103182,103180,102577
5,103380,103396,103402,103401,102798
6,103620,103615,103622,103622,103018
7,103820,103835,103843,103843,103239
8,103990,104054,104063,104063,103460
9,104280,104274,104283,104284,103680
10,104550,104493,104503,104505,103901
11,104710,104713,104724,104726,104121
12,104960,104932,104944,104946,104342
1,105370,105369,105371,105353,104783
2,105580,105589,105591,105574,105004
3,105810,105808,105811,105795,105224
4,106000,106028,106031,106015,105445
5,106250,106247,106251,106236,105665
6,106470,106467,106471,106457,105886
7,106690,106686,106691,106677,106107
8,106880,106906,106910,106898,106327
9,107100,107125,107130,107119,106548
10,107330,107344,107350,107339,106768
11,107580,107564,107570,107560,106989
12,107800,107783,107790,107781,107210
1,107990,108003,108010,108001,107430
2,108220,108222,108230,108222,107651
3,108450,108442,108449,108442,107871
4,108650,108661,108669,108663,108092
5,108890,108880,108889,108884,108313
6,109110,109100,109109,109104,108533
7,109320,109319,109329,109325,108754
8,109540,109539,109549,109546,108974
9,109740,109758,109769,109766,109195
10,109980,109978,109988,109987,109415
11,110150,110197,110208,110208,109636
12,110480,110417,110428,110428,109857
1,110870,110855,110862,110834,110298
2,111080,111075,111082,111056,110518
3,111310,111296,111302,111278,110739
4,111500,111516,111521,111499,110960
5,111720,111736,111741,111721,111180
6,111960,111956,111961,111943,111401
7,112140,112176,112181,112165,111621
8,112360,112396,112400,112387,111842
9,112610,112616,112620,112608,112063
10,112840,112836,112840,112830,112283
11,113040,113056,113060,113052,112504
12,113270,113276,113279,113274,112724
1,113490,113496,113499,113495,112945
2,113710,113716,113719,113717,113166
3,113930,113936,113938,113939,113386
4,114160,114156,114158,114161,113607
5,114420,114376,114378,114383,113827
6,114590,114596,114598,114604,114048
7,114850,114816,114817,114826,114268
8,115050,115036,115037,115048,114489
9,115250,115256,115257,115270,114710
10,115470,115476,115477,115491,114930
11,115680,115697,115696,115713,115151
12,115930,115917,115916,115935,115371
2,116390,116371,116376,116366,115813
1,116600,116592,116597,116588,116033
4,116800,116814,116817,116811,116254
3,117070,117036,117037,117033,116474
6,117270,117258,117258,117256,116695
5,117500,117479,117478,117478,116916
8,117710,117701,117698,117701,117136
7,117920,117923,117919,117923,117357
10,118090,118145,118139,118145,117577
9,118380,118366,118359,118368,117798
12,118590,118588,118580,118590,118019
11,118820,118810,118800,118813,118239
1,119050,119032,119020,119035,118460
2,119290,119253,119241,119257,118680
4,119470,119475,119461,119480,118901
6,119720,119697,119681,119702,119122
3,119910,119919,119902,119925,119342
8,120130,120140,120122,120147,119563
5,120330,120362,120342,120369,119783
10,120540,120584,120563,120592,120004
7,120730,120806,120783,120814,120224
12,121040,121027,121003,121037,120445
9,121310,121249,121224,121259,120666
11,121510,121471,121444,121481,120886
2,121950,121914,121899,121891,121327
1,122150,122135,122120,122114,121548
6,122360,122355,122341,122336,121769
4,122580,122575,122562,122558,121989
8,122810,122796,122782,122781,122210
3,123040,123016,123003,123003,122430
10,123200,123236,123224,123226,122651
5,123440,123457,123445,123448,122872
12,123690,123677,123665,123670,123092
7,123810,123897,123886,123893,123313
11,124100,124118,124107,124115,123533
9,124380,124338,124327,124338,123754
2,124530,124558,124548,124560,123975
6,124820,124779,124769,124782,124195
1,125030,124999,124990,125005,124416
4,125220,125219,125210,125227,124636
3,125480,125440,125431,125450,124857
8,125660,125660,125652,125672,125077
5,125880,125880,125873,125894,125298
10,126030,126101,126093,126117,125519
7,126290,126321,126314,126339,125739
12,126530,126541,126535,126562,125960
9,126790,126762,126756,126784,126180
11,127000,126982,126976,127006,126401
6,127520,127438,127433,127429,126842
2,127710,127660,127654,127651,127063
4,127880,127881,127875,127874,127283
1,128120,128102,128097,128096,127504
8,128340,128324,128318,128319,127725
3,128540,128545,128539,128541,127945
10,128720,128767,128760,128764,128166
5,128960,128988,128981,128986,128386
12,129190,129209,129202,129209,128607
7,129340,129431,129424,129431,128828
11,129620,129652,129645,129654,129048
9,129900,129874,129866,129876,129269
6,130120,130095,130087,130099,129489
2,130350,130316,130308,130321,129710
1,130570,130538,130529,130544,129930
4,130760,130759,130750,130766,130151
8,130990,130981,130972,130989,130372
10,131150,131202,131193,131211,130592
3,131440,131423,131414,131434,130813
12,131690,131645,131635,131656,131033
5,131880,131866,131856,131879,131254
11,132090,132088,132077,132101,131475
7,132290,132309,132299,132324,131695
9,132530,132530,132520,132546,131916
2,132980,132974,132968,132961,132357
6,133210,133195,133189,133184,132578
4,133400,133416,133410,133406,132798
1,133640,133638,133632,133628,133019
10,133820,133859,133853,133850,133239
8,134060,134080,134074,134072,133460
12,134360,134301,134296,134295,133681
3,134520,134522,134517,134517,133901
11,134710,134743,134738,134739,134122
5,134950,134965,134959,134961,134342
9,135160,135186,135181,135183,134563
7,135360,135407,135402,135406,134783
6,135680,135628,135623,135628,135004
2,135870,135849,135845,135850,135225
4,136080,136070,136066,136072,135445
10,136320,136292,136287,136294,135666
1,136520,136513,136509,136517,135886
8,136720,136734,136730,136739,136107
3,136970,136955,136951,136961,136328
12,137180,137176,137173,137183,136548
5,137400,137397,137394,137405,136769
11,137630,137619,137615,137627,136989
7,137820,137840,137837,137850,137210
9,138040,138061,138058,138072,137431
2,138540,138501,138498,138487,137872
6,138730,138722,138719,138710,138092
10,138900,138943,138941,138932,138313
4,139200,139164,139162,139154,138534
8,139400,139385,139383,139376,138754
1,139580,139606,139604,139598,138975
12,139850,139827,139826,139820,139195
3,140050,140048,140047,140042,139416
11,140270,140269,140268,140264,139637
5,140470,140490,140489,140486,139857
9,140700,140711,140711,140708,140078
7,140870,140932,140932,140930,140298
2,141120,141153,141153,141152,140519
10,141320,141374,141374,141374,140739
6,141590,141595,141596,141596,140960
4,141820,141816,141817,141818,141181
1,142030,142037,142038,142040,141401
8,142240,142258,142259,142262,141622
12,142480,142479,142481,142484,141842
11,142760,142700,142702,142706,142063
3,142930,142921,142923,142928,142284
9,143140,143142,143144,143150,142504
5,143350,143362,143366,143372,142725
7,143640,143583,143587,143594,142945
10,144010,144018,144024,144011,143387
2,144220,144240,144245,144233,143607
4,144450,144461,144466,144455,143828
6,144690,144683,144687,144676,144048
8,144920,144904,144908,144898,144269
1,145110,145126,145130,145120,144490
11,145280,145347,145351,145342,144710
12,145560,145569,145572,145564,144931
9,145760,145790,145793,145786,145151
3,146000,146012,146014,146007,145372
7,146280,146233,146235,146229,145592
5,146490,146455,146456,146451,145813
2,146670,146676,146678,146673,146034
10,146880,146898,146899,146895,146254
6,147100,147119,147120,147117,146475
4,147360,147340,147341,147339,146695
8,147580,147562,147562,147560,146916
11,147780,147783,147783,147782,147137
1,147970,148005,148004,148004,147357
12,148200,148226,148226,148226,147578
3,148430,148448,148447,148448,147798
9,148670,148669,148668,148670,148019
5,148920,148891,148889,148891,148240
7,149160,149112,149110,149113,148460
10,149560,149547,149543,149529,148901
2,149750,149767,149764,149751,149122
4,149980,149987,149985,149972,149343
6,150190,150207,150206,150194,149563
11,150450,150427,150426,150415,149784
8,150660,150648,150647,150637,150004
12,150870,150868,150868,150858,150225
1,151020,151088,151089,151080,150445
9,151290,151308,151310,151301,150666
3,151500,151528,151531,151523,150887
7,151740,151748,151751,151744,151107
5,151970,151968,151972,151966,151328
